year,month,ozone 8hr max,daily aqi,avg_tmax,avg_daily_prcp,visitors
1990,1,0.0230178571428571,21.321428571428573,46.483870967741936,0.221,99686
1990,2,0.0314772727272727,29.15909090909091,47.857142857142854,0.16392857142857142,101236
1990,3,0.0412127659574468,38.361702127659576,60.16129032258065,0.07709677419354838,145037
1990,4,0.0429444444444444,41.16666666666666,67.6,0.08,237815
1990,5,0.0578387096774193,68.48387096774194,70.58064516129032,0.05709677419354839,364549
1990,6,0.0653,88.43333333333334,81.06666666666666,0.012666666666666666,424933
1990,7,0.0651967213114754,90.11475409836063,90.58064516129032,0.052258064516129035,482066
1990,8,0.0620338983050847,80.76271186440678,85.76666666666667,0.0032258064516129032,367502
1990,9,0.0657848101265822,88.48101265822785,81.7,0.018333333333333333,364838
1990,10,0.0551529411764705,60.87058823529412,76.58064516129032,0.0025806451612903226,276025
1990,11,0.0299473684210526,27.710526315789476,59.666666666666664,0.06833333333333333,162254
1990,12,0.0239574468085106,22.127659574468087,42.935483870967744,0.04935483870967742,98998
1991,1,0.0246279069767441,22.88372093023256,51.03225806451613,0.02225806451612903,104673
1991,2,0.0325405405405405,30.135135135135137,62.32142857142857,0.11821428571428572,111073
1991,3,0.0346285714285714,32.0,46.87096774193548,0.6293548387096775,117735
1991,4,0.0405178571428571,38.08928571428572,61.833333333333336,0.03833333333333333,187607
1991,5,0.0444509803921568,41.490196078431374,65.29032258064517,0.08548387096774193,354908
1991,7,0.0636190476190476,83.80952380952381,90.83870967741936,0.0,521822
1991,8,0.0628089887640449,81.50561797752809,86.87096774193549,0.0,587904
1991,9,0.0629080459770115,82.0919540229885,85.73333333333333,0.006333333333333333,441553
1991,10,0.0581538461538461,75.0,75.12903225806451,0.1396774193548387,320769
1991,11,0.0244827586206896,22.689655172413797,58.733333333333334,0.097,164072
1991,12,0.0224137931034482,20.71264367816092,49.16129032258065,0.1164516129032258,114144
1992,1,0.0269318181818181,24.96590909090909,50.096774193548384,0.05967741935483871,126603
1992,2,0.0321728395061728,30.074074074074076,53.172413793103445,0.2713793103448276,120908
1992,3,0.0387252747252747,35.86813186813187,58.67741935483871,0.08419354838709676,149651
1992,4,0.0473953488372093,47.06976744186046,70.2,0.016666666666666666,251872
1992,5,0.0606666666666666,72.71264367816092,79.06451612903226,0.02129032258064516,425555
1992,7,0.0593561643835616,77.43835616438356,84.03225806451613,0.13516129032258065,568070
1992,8,0.0647213114754098,85.0327868852459,89.51612903225806,0.001935483870967742,586868
1992,9,0.0591666666666666,70.93333333333334,84.5,0.004666666666666667,470798
1992,10,0.0507166666666666,56.5,73.7741935483871,0.08967741935483871,356333
1992,11,0.0288863636363636,26.772727272727277,57.06666666666667,0.003,163364
1992,12,0.0272470588235294,25.24705882352941,42.193548387096776,0.3406451612903226,112606
1993,1,0.0222881355932203,20.64406779661017,43.096774193548384,0.5116666666666666,101503
1993,2,0.0353658536585365,32.73170731707317,46.67857142857143,0.3110714285714286,105315
1993,3,0.0353,32.65,59.96774193548387,0.12193548387096775,151472
1993,4,0.04535,42.1,65.16666666666667,0.05333333333333334,246136
1993,5,0.0494310344827586,49.39655172413793,70.93548387096774,0.05709677419354839,378548
1993,6,0.0501627906976744,52.325581395348834,75.6,0.042499999999999996,446235
1993,7,0.0628548387096774,79.45161290322581,86.19354838709677,0.0,604248
1993,8,0.0587540983606557,68.1311475409836,86.61290322580645,0.0,634588
1993,9,0.0606938775510204,74.65306122448979,83.53333333333333,0.0,503629
1993,10,0.0376315789473684,36.2280701754386,70.83870967741936,0.0464516129032258,368978
1993,11,0.0311724137931034,28.93103448275862,57.0,0.06466666666666668,171108
1993,12,0.0164814814814814,15.24074074074074,47.064516129032256,0.07448275862068965,127885
1994,1,0.0264606741573033,24.44943820224719,51.61290322580645,0.06366666666666666,131216
1994,2,0.0348607594936708,32.22784810126582,49.107142857142854,0.21142857142857144,127303
1994,3,0.044067415730337,41.17977528089887,62.096774193548384,0.046129032258064515,186008
1994,4,0.0516111111111111,53.13333333333333,64.5,0.2671428571428572,247425
1994,5,0.0531978021978022,58.604395604395606,70.70967741935483,0.05548387096774193,384114
1994,6,0.0566666666666666,64.96551724137932,85.33333333333333,0.0,495097
1994,7,0.0682282608695652,94.6304347826087,92.2258064516129,0.0,585940
1994,8,0.0653440860215053,86.29032258064517,91.80645161290323,0.0,666555
1994,9,0.0571022727272727,68.04545454545455,81.2,0.058,511954
1994,11,0.0306818181818181,28.424242424242426,44.36666666666667,0.35379310344827586,146675
1995,1,0.0290166666666666,26.866666666666667,41.87096774193548,0.604074074074074,123844
1995,2,0.0367678571428571,34.05357142857143,59.5,0.060714285714285714,151102
1995,3,0.042,38.85964912280702,53.03333333333333,0.59,124710
1995,4,0.0464035087719298,44.50877192982456,59.46666666666667,0.16366666666666668,250592
1995,5,0.0479333333333333,48.016666666666666,64.19354838709677,0.12516129032258064,279575
1995,6,0.052728813559322,56.74576271186441,73.83333333333333,0.05233333333333333,449511
1995,7,0.0609054054054054,74.06756756756756,84.35483870967742,0.007741935483870969,663052
1995,8,0.0735806451612903,111.7741935483871,89.03225806451613,0.0,656064
1995,9,0.07025,102.55263157894736,84.26666666666667,0.0,551886
1995,10,0.0587241379310344,70.51724137931035,75.41935483870968,0.0,409319
1995,11,0.0443928571428571,43.82142857142857,64.83333333333333,0.005666666666666667,210295
1995,12,0.0299682539682539,27.92063492063492,48.8,0.2845161290322581,88456
1996,1,0.0302622950819672,28.016393442622952,48.12903225806452,0.33096774193548384,104086
1996,2,0.0366896551724137,34.08620689655172,50.55172413793103,0.3448275862068966,135115
1996,3,0.0435,40.27586206896552,59.096774193548384,0.21258064516129033,180709
1996,4,0.0483962264150943,47.22641509433962,66.36666666666666,0.13666666666666666,253532
1996,5,0.0501304347826086,52.05434782608695,70.03225806451613,0.12290322580645162,347364
1996,6,0.0653258426966292,89.0561797752809,81.5,0.021333333333333333,527284
1996,7,0.0728387096774193,109.3763440860215,91.74193548387096,0.0,622855
1996,8,0.0739642857142857,112.0952380952381,91.61290322580645,0.000967741935483871,679862
1996,9,0.0681348314606741,96.1011235955056,81.43333333333334,0.004,517934
1996,10,0.0530574712643678,61.10344827586207,67.41935483870968,0.17709677419354838,365313
1996,11,0.0368928571428571,34.07142857142857,55.766666666666666,0.36633333333333334,172037
1996,12,0.0352758620689655,32.55172413793103,47.12903225806452,0.34451612903225803,140116
1997,1,0.0377241379310344,34.89655172413793,44.70967741935484,0.5667741935483871,12520
1997,2,0.041037037037037,38.03703703703704,53.392857142857146,0.030357142857142857,64201
1997,3,0.0458214285714285,43.0,64.7741935483871,0.007741935483870969,136476
1997,4,0.0498333333333333,49.2,65.1,0.030999999999999996,200212
1997,5,0.0528709677419354,55.70967741935484,76.93548387096774,0.017096774193548388,319108
1997,6,0.0571355932203389,66.35593220338983,78.8,0.021666666666666667,460459
1997,7,0.06932,98.52,87.6774193548387,0.013548387096774193,595059
1997,8,0.0637868852459016,83.90163934426229,89.09677419354838,0.015483870967741935,697060
1997,9,0.0576964285714285,67.94642857142857,82.16666666666667,0.033,516567
1997,10,0.0555833333333333,62.66666666666666,69.35483870967742,0.013870967741935483,372171
1997,11,0.0422666666666666,39.63333333333333,54.535714285714285,0.12366666666666666,168533
1997,12,0.0426206896551724,39.6551724137931,46.54838709677419,0.12483870967741936,127604
1998,1,0.0366296296296296,33.888888888888886,47.83870967741935,0.38741935483870965,114143
1998,2,0.0371785714285714,34.5,42.964285714285715,0.6721428571428572,109163
1998,3,0.0385555555555555,35.74074074074074,55.58064516129032,0.22387096774193546,157257
1998,4,0.0491304347826086,50.65217391304348,58.36666666666667,0.08633333333333333,231495
1998,5,0.0482542372881355,47.271186440677965,59.166666666666664,0.1464516129032258,307331
1998,6,0.0545833333333333,63.53333333333333,71.03333333333333,0.05566666666666666,345916
1998,7,0.0720967741935483,106.38709677419357,85.74193548387096,0.0012903225806451613,603790
