Year,Month,Ozone 8hr Max,Daily AQI
1990,1,0.023017857142857142,21.321428571428573
1990,2,0.03147727272727273,29.15909090909091
1990,3,0.04121276595744681,38.361702127659576
1990,4,0.042944444444444445,41.166666666666664
1990,5,0.05783870967741935,68.48387096774194
1990,6,0.0653,88.43333333333334
1990,7,0.06519672131147541,90.11475409836065
1990,8,0.062033898305084746,80.76271186440678
1990,9,0.06578481012658229,88.48101265822785
1990,10,0.055152941176470585,60.870588235294115
1990,11,0.02994736842105263,27.710526315789473
1990,12,0.02395744680851064,22.127659574468087
1991,1,0.024627906976744184,22.88372093023256
1991,2,0.03254054054054054,30.135135135135137
1991,3,0.034628571428571425,32.0
1991,4,0.04051785714285715,38.089285714285715
1991,5,0.044450980392156864,41.490196078431374
1991,6,0.04930357142857143,51.732142857142854
1991,7,0.06361904761904762,83.80952380952381
1991,8,0.06280898876404495,81.50561797752809
1991,9,0.0629080459770115,82.0919540229885
1991,10,0.058153846153846146,75.0
1991,11,0.024482758620689653,22.689655172413794
1991,12,0.022413793103448276,20.71264367816092
1992,1,0.026931818181818182,24.96590909090909
1992,2,0.032172839506172835,30.074074074074073
1992,3,0.038725274725274726,35.86813186813187
1992,4,0.0473953488372093,47.06976744186046
1992,5,0.060666666666666674,72.71264367816092
1992,6,0.06063218390804598,77.77011494252874
1992,7,0.059356164383561644,77.43835616438356
1992,8,0.06472131147540984,85.0327868852459
1992,9,0.059166666666666666,70.93333333333334
1992,10,0.05071666666666667,56.5
1992,11,0.028886363636363634,26.772727272727273
1992,12,0.02724705882352941,25.24705882352941
1993,1,0.022288135593220338,20.64406779661017
1993,2,0.03536585365853658,32.73170731707317
1993,3,0.0353,32.65
1993,4,0.04535,42.1
1993,5,0.04943103448275862,49.39655172413793
1993,6,0.05016279069767442,52.325581395348834
1993,7,0.06285483870967741,79.45161290322581
1993,8,0.05875409836065574,68.1311475409836
1993,9,0.06069387755102041,74.65306122448979
1993,10,0.03763157894736842,36.228070175438596
1993,11,0.03117241379310345,28.93103448275862
1993,12,0.016481481481481482,15.24074074074074
1994,1,0.02646067415730337,24.44943820224719
1994,2,0.03486075949367089,32.22784810126582
1994,3,0.04406741573033708,41.17977528089887
1994,4,0.05161111111111111,53.13333333333333
1994,5,0.0531978021978022,58.604395604395606
1994,6,0.056666666666666664,64.96551724137932
1994,7,0.06822826086956522,94.6304347826087
1994,8,0.06534408602150538,86.29032258064517
1994,9,0.05710227272727273,68.04545454545455
1994,10,0.04504705882352941,46.71764705882353
1994,11,0.03068181818181818,28.424242424242426
1994,12,0.027706896551724137,25.689655172413794
1995,1,0.02901666666666667,26.866666666666667
1995,2,0.036767857142857144,34.05357142857143
1995,3,0.042,38.85964912280702
1995,4,0.04640350877192982,44.50877192982456
1995,5,0.047933333333333335,48.016666666666666
1995,6,0.05272881355932203,56.74576271186441
1995,7,0.0609054054054054,74.06756756756756
1995,8,0.07358064516129033,111.7741935483871
1995,9,0.07025,102.55263157894737
1995,10,0.05872413793103448,70.51724137931035
1995,11,0.044392857142857144,43.82142857142857
1995,12,0.029968253968253967,27.92063492063492
1996,1,0.030262295081967216,28.016393442622952
1996,2,0.03668965517241379,34.08620689655172
